type,total_gain,mean_gain,n_features,pct_total
Clinical,0.9041598234334121,0.45207991171670603,2,90.4159823433412
Pathway,0.05636832733555938,9.553953785688031e-4,59,5.636832733555938
miRNA,0.03395375983872344,8.9351999575588e-4,38,3.3953759838723436
Interaction,0.005518089392305189,0.0011036178784610377,5,0.5518089392305189
