model,auc,accuracy,sensitivity,specificity,f1
Clinical,0.9891987431264729,0.986013986013986,0.9701492537313433,1,0.9848484848484849
Pathway,0.6017282010997643,0.5734265734265734,0.47761194029850745,0.6578947368421053,0.5119999999999999
miRNA,0.5003927729772192,0.5454545454545454,0.26865671641791045,0.7894736842105263,0.3564356435643564
Interaction,0.5338766692851532,0.44755244755244755,0.22388059701492538,0.6447368421052632,0.27522935779816515
Integrated,0.9831107619795758,0.986013986013986,0.9701492537313433,1,0.9848484848484849
